"GL_ID","SO_ID","outcome_ID","outcome_text","module","notes","prereqs","bloom"
1,0,1,"Apply classical measures of central tendency to summarise and compare data sets.","Central Tendency",,,
1,1,1.1,"Calculate the mode for a given set of observations.","Central Tendency",,,
1,2,1.2,"Calculate the mean for a given set of observations.","Central Tendency",,,
1,3,1.3,"Calculate the median for a given set of observations.","Central Tendency",,,
1,4,1.4,"Compare the mode, median, and mean, and justify when each measure is most appropriate to use.","Central Tendency",,,
1,5,1.5,"Create and interpret a bar chart comparing group-level measures of central tendency.","Central Tendency",,,
2,0,2,"Use empirical percentiles and quartiles to describe the relative position of observations within a data set.","Spread",,,
2,1,2.1,"Determine the first, second, and third quartiles for a given data set.","Spread",,,
2,2,2.2,"Interpret the meaning of a percentile in the context of a data set.","Spread",,,
2,3,2.3,"Determine the x percentile for a given data set.","Spread",,,
2,4,2.4,"Describe the relationship between the percentiles and quartiles of a data set.","Spread",,,
3,0,3,"Apply classical measures of spread to summarise and compare data sets.","Spread",,,
3,1,3.1,"Calculate the range for a given set of observations.","Spread",,,
3,2,3.2,"Calculate the interquartile range (IQR) for a given set of observations.","Spread",,,
3,3,3.3,"Calculate the sum of squared deviations for a given set of observations.","Spread",,,
3,4,3.4,"Calculate the population and sample variance for a given set of observations.","Spread",,,
3,5,3.5,"Calculate the population and sample standard deviation for a given set of observations.","Spread",,,
